,character,harry,wood,students,flitwick,ron,hermione,seamus,spells,neville,quirrell,dumbledore,percy,minerva
0,harry,0,4.75,0,11.0,3.85714285714,4.5,0,0,2.0,0,0,0,0
1,wood,14.4444444444,0,0,0,0,0,0,0,0,0,0,0,0
2,students,0,0,0,4.0,0,0,0,2.0,0,0,0,0,0
3,flitwick,0,0,18.0,0,0,2.0,0,0,0,0,0,0,0
4,ron,8.75,0,0,0,0,12.0,14.0,2.0,0,0,0,0,0
5,hermione,3.0,0,0,0,8.66666666667,0,0,2.0,0,0,0,0,19.5
6,seamus,0,0,0,0,0,0,0,4.0,0,0,0,0,0
7,spells,0,0,0,0,0,0,0,0,0,0,0,0,0
8,neville,20.0,0,0,0,0,0,0,0,0,0,0,0,0
9,quirrell,9.0,0,0,0,9.0,9.0,0,0,0,0,13.0,0,0
10,dumbledore,0,0,12.0,0,0,0,0,0,0,0,0,0,0
11,percy,0,0,7.0,0,0,0,0,0,0,0,0,0,0
12,minerva,17.3333333333,0,0,0,17.3333333333,21.5,0,0,0,0,0,0,0
