,character,harry,hermione,ron,hagrid,minerva,snape,neville,trevor,spells,chess
0,harry,1.66666666667,7.68965517241,7.22727272727,8.33333333333,8.66666666667,0,2.5,1.0,0,1.0
1,hermione,8.04347826087,0,9.23076923077,0,0,3.0,4.0,0,1.66666666667,0
2,ron,9.06666666667,5.84210526316,0,0,0,0,7.0,6.0,1.0,3.0
3,hagrid,25.75,4.0,4.0,0,0,0,0,0,0,0
4,minerva,17.0,28.0,28.0,0,0,0,0,0,0,0
5,snape,15.0,15.0,15.0,0,0,0,0,0,0,0
6,neville,11.5,11.5,11.5,0,0,0,0,0,0,0
7,trevor,0,0,0,0,0,0,0,0,0,0
8,spells,0,0,0,0,0,0,0,0,0,0
9,chess,0,0,0,0,0,0,0,0,0,0
