,character,minerva,students,draco,harry,dumbledore,sorting_hat,ron,hermione,percy,nearly_headless_nick,seamus,portraits
0,minerva,0,18.375,0,0,0,0,0,0,0,0,0,0
1,students,0,0,0,0,0,0,0,0,0,0,0,0
2,draco,0,17.0,0,19.0,0,0,23.0,0,0,0,0,0
3,harry,0,0,12.0,0,0,4.0,4.0,0,6.0,0,0,0
4,dumbledore,0,33.5,0,0,0,0,0,0,0,0,0,0
5,sorting_hat,0,0,1.0,32.5,0,0,11.0,5.0,0,0,0,0
6,ron,0,0,0,8.0,0,0,0,0,0,7.0,0,0
7,hermione,0,21.0,0,0,0,0,0,4.0,0,8.0,0,0
8,percy,0,19.25,0,11.0,0,0,0,0,0,6.0,0,2.0
9,nearly_headless_nick,0,7.0,0,0,0,0,8.0,2.0,13.0,0,0,0
10,seamus,0,19.0,0,0,0,0,0,0,0,0,0,0
11,portraits,0,3.0,0,0,0,0,0,0,1.0,0,0,0
