,character,harry,ron,hermione,seamus,spells,hooch,students,draco,dean,neville,minerva,wood,fred_george,ghosts,quirrell,nearly_headless_nick
0,harry,0,6.57142857143,2.11111111111,0,0,0,0,7.5,0,0,0,0,0,0,0,0
1,ron,11.4,0,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0
2,hermione,9.42857142857,12.4285714286,3.0,0,1.0,0,0,0,0,14.0,0,0,0,0,0,0
3,seamus,0,0,0,0,22.0,0,0,0,0,0,0,0,0,0,0,0
4,spells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,hooch,0,0,0,0,0,0,22.0,0,0,6.0,0,0,0,0,0,0
6,students,7.0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0
7,draco,6.4,0,0,0,0,0,23.0,0,0,0,0,0,0,0,0,0
8,dean,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0
9,neville,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,minerva,4.0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,11.0,0
11,wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,fred_george,16.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,ghosts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,quirrell,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0
15,nearly_headless_nick,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,0
