,harry,wood,students,flitwick,ron,hermione,seamus,spells,neville,quirrell,dumbledore,percy,minerva
harry,0,4,0,1,7,2,0,0,1,0,0,0,0
wood,9,0,0,0,0,0,0,0,0,0,0,0,0
students,0,0,0,1,0,0,0,1,0,0,0,0,0
flitwick,0,0,3,0,0,1,0,0,0,0,0,0,0
ron,4,0,0,0,0,1,1,2,0,0,0,0,0
hermione,1,0,0,0,3,0,0,1,0,0,0,0,2
seamus,0,0,0,0,0,0,0,1,0,0,0,0,0
spells,0,0,0,0,0,0,0,0,0,0,0,0,0
neville,1,0,0,0,0,0,0,0,0,0,0,0,0
quirrell,1,0,0,0,1,1,0,0,0,0,1,0,0
dumbledore,0,0,2,0,0,0,0,0,0,0,0,0,0
percy,0,0,1,0,0,0,0,0,0,0,0,0,0
minerva,3,0,0,0,3,2,0,0,0,0,0,0,0
