,minerva,students,draco,harry,dumbledore,sorting_hat,ron,hermione,percy,nearly_headless_nick,seamus,portraits
minerva,0,8,0,0,0,0,0,0,0,0,0,0
students,0,0,0,0,0,0,0,0,0,0,0,0
draco,0,1,0,2,0,0,1,0,0,0,0,0
harry,0,0,1,0,0,2,1,0,2,0,0,0
dumbledore,0,2,0,0,0,0,0,0,0,0,0,0
sorting_hat,0,0,1,2,0,0,1,1,0,0,0,0
ron,0,0,0,3,0,0,0,0,0,1,0,0
hermione,0,1,0,0,0,0,0,1,0,1,0,0
percy,0,4,0,2,0,0,0,0,0,1,0,1
nearly_headless_nick,0,1,0,0,0,0,1,1,1,0,0,0
seamus,0,1,0,0,0,0,0,0,0,0,0,0
portraits,0,1,0,0,0,0,0,0,1,0,0,0
