,harry,ron,hermione,seamus,spells,hooch,students,draco,dean,neville,minerva,wood,fred_george,ghosts,quirrell,nearly_headless_nick
harry,0,14,9,0,0,0,0,2,0,0,0,0,0,0,0,0
ron,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
hermione,7,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0
seamus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
spells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hooch,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0
students,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
draco,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dean,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
neville,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
minerva,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fred_george,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ghosts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quirrell,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
nearly_headless_nick,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
