,harry,wood,students,flitwick,ron,hermione,seamus,spells,neville,quirrell,dumbledore,percy,minerva
harry,0,19,0,11,27,9,0,0,2,0,0,0,0
wood,130,0,0,0,0,0,0,0,0,0,0,0,0
students,0,0,0,4,0,0,0,2,0,0,0,0,0
flitwick,0,0,54,0,0,2,0,0,0,0,0,0,0
ron,35,0,0,0,0,12,14,4,0,0,0,0,0
hermione,3,0,0,0,26,0,0,2,0,0,0,0,39
seamus,0,0,0,0,0,0,0,4,0,0,0,0,0
spells,0,0,0,0,0,0,0,0,0,0,0,0,0
neville,20,0,0,0,0,0,0,0,0,0,0,0,0
quirrell,9,0,0,0,9,9,0,0,0,0,13,0,0
dumbledore,0,0,24,0,0,0,0,0,0,0,0,0,0
percy,0,0,7,0,0,0,0,0,0,0,0,0,0
minerva,52,0,0,0,52,43,0,0,0,0,0,0,0
